iteration,accuracy_of_C,recall_of_C,invocation_of_C,invocation_truly,mean_relative_error_of_A,mean_relative_error_of_A_with_C
0,0.9718999999999968,0.0,0.0,0.028099999999999906,0.9719433667654528,0.0
1,0.9898666666666635,0.6469221835074742,0.018566666666666606,0.028699999999999906,0.9713908078735848,0.004604604458300757
2,0.9984333333333301,0.9444444444443327,0.026633333333333245,0.02819999999999991,0.9713983532752891,0.008681313236739605
3,0.9996666666666634,0.9876847290639177,0.026733333333333244,0.02706666666666658,0.9714426787796854,0.005206959471897216
4,0.9997999999999967,0.9928400954652753,0.027733333333333242,0.02793333333333324,0.9714114390805724,0.009670181142735042
5,0.9990999999999968,0.9929078014183222,0.028699999999999906,0.02819999999999991,0.9714325876563394,0.014503882521367275
6,0.9999999999999968,0.999999999999883,0.028499999999999907,0.028499999999999907,0.9715819951525282,0.014912033309701153
7,0.99963333333333,0.9855453350852844,0.024999999999999918,0.025366666666666583,0.9721839519793523,0.021631436423331384
8,0.9994333333333301,0.992744860943048,0.027733333333333242,0.027566666666666576,0.9714131188812523,0.008167379897773126
9,0.9993333333333301,0.9950556242273182,0.027366666666666577,0.02696666666666658,0.9715771491619196,0.008640563944336186
10,0.9998666666666634,0.9949937421775976,0.026499999999999913,0.026633333333333245,0.9718673156694064,0.009574627569763874
11,0.99953333333333,0.9999999999998715,0.026433333333333246,0.025966666666666582,0.9726621741550818,0.03238705087399541
12,0.9999999999999968,0.9999999999998748,0.026633333333333245,0.026633333333333245,0.9718421999886031,0.01044308006533056
13,0.9999999999999968,0.9999999999998743,0.026533333333333246,0.026533333333333246,0.9719410780811624,0.012144381872254462
14,0.9991333333333301,0.9999999999998838,0.02956666666666657,0.028699999999999906,0.9714869079117991,0.03563386398428421
15,0.9999999999999968,0.9999999999998742,0.026499999999999913,0.026499999999999913,0.9724268398558042,0.030620777133278702
16,0.9995666666666634,0.9927797833933822,0.027733333333333242,0.02769999999999991,0.97138110803257,0.007862594168095618
17,0.9999999999999968,0.9999999999998846,0.028899999999999905,0.028899999999999905,0.9713412385597993,0.011005521632643836
18,0.9999999999999968,0.9999999999998838,0.028699999999999906,0.028699999999999906,0.9713570781028196,0.010512956632125097
19,0.9995666666666634,0.98490127758409,0.028266666666666575,0.028699999999999906,0.9719237909687616,0.029547099391348024
