iteration,accuracy_of_C,recall_of_C,invocation_of_C,invocation_truly,mean_relative_error_of_A,mean_relative_error_of_A_with_C
0,0.9999999999999704,0.0,0.0,0.0,0.744624266010572,0.0
1,0.9999999999999704,0.0,0.0,0.0,0.7450791980281218,0.0
2,0.9999999999999704,0.0,0.0,0.0,0.744594936527137,0.0
3,0.9999999999999704,0.0,0.0,0.0,0.7431531445504845,0.0
4,0.9999999999999704,0.0,0.0,0.0,0.7478681257971695,0.0
5,0.9999999999999704,0.0,0.0,0.0,0.7325193103212508,0.0
6,0.9999999999999704,0.0,0.0,0.0,0.7319401286914233,0.0
7,0.9999999999999704,0.0,0.0,0.0,0.732169884809712,0.0
8,0.9999999999999704,0.0,0.0,0.0,0.7305064246832155,0.0
9,0.9999999999999704,0.0,0.0,0.0,0.7311011811025291,0.0
10,0.9999999999999704,0.0,0.0,0.0,0.7337497512872981,0.0
11,0.9999999999999704,0.0,0.0,0.0,0.7278705678218133,0.0
12,0.9999999999999704,0.0,0.0,0.0,0.7276561141786994,0.0
13,0.9999999999999704,0.0,0.0,0.0,0.728346355101021,0.0
14,0.9999999999999704,0.0,0.0,0.0,0.7272216355010633,0.0
