invocation_truly,accuracy_of_C,mean_relative_error_of_A,recall_of_C,mean_relative_error_of_A_with_C,iteration,invocation_of_C
0.27873333333333244,0.7212666666666643,0.22006211387580463,0.0,0.0,0,0.0
0.2805333333333324,0.7194666666666643,0.2225102648791597,0.0,0.0,1,0.0
0.2670666666666658,0.7409333333333309,0.21945039883762693,0.04281078382426307,0.06974261723538355,2,0.014866666666666618
0.27823333333333244,0.7336999999999976,0.2222729173597678,0.09560321073439444,0.08958253721665416,3,0.041266666666666535
0.27299999999999913,0.7387333333333309,0.2203976718594582,0.12673992673992518,0.09703670888823931,4,0.05746666666666648
0.26913333333333245,0.7381666666666642,0.22002458171743083,0.12695070596977798,0.10090125540167054,5,0.061033333333333134
0.2827666666666657,0.7320999999999976,0.22444290192540048,0.15489803135682947,0.10350941376373224,6,0.0727333333333331
0.2791333333333324,0.7311999999999976,0.2230229779147769,0.16204919990446426,0.10529160688923506,7,0.08013333333333307
0.26339999999999913,0.7400666666666642,0.21697278745672388,0.1170589724120461,0.10251926114281039,8,0.05819999999999981
0.28069999999999906,0.7317999999999976,0.22369442773887618,0.13644460277876574,0.09997673925411107,9,0.0640999999999998
